original_file,size_of_file,loss_in_data,retain_data,encrpyt_time,decrypt_time
Boing Sms Tone.mp3,21732,0.0,100.0,1.083,1.805
Alarm tune.mp3,250200,0.0,100.0,66.606,177.141
Sms Glass Break.mp3,54751,0.0,100.0,6.435,9.901
Breaking glass sound-freeringtonesdownload.info.mp3,49728,0.0,100.0,3.627,8.079
sound_s.mp3,137507,0.0,100.0,23.882,57.307
sound_effects-code_geass.mp3,137507,0.0,100.0,22.546,56.902
db_l.mp3,382907,0.0,100.0,172.545,645.797
Audio.mp3,44961,0.0,100.0,2.796,6.276
sherlocker_o.mp3,42948,0.0,100.0,2.763,5.757
Breaking glass .mp3,49728,0.0,100.0,3.374,7.69
db_instrumental.mp3,382907,0.0,100.0,220.565,679.101
reeringtonesdownload.info.mp3,9152,0.0,100.0,0.727,0.815
sherlocker_xmeo4wao.mp3,42948,0.0,100.0,4.385,8.908
Audio from Shreyas Shankar.mp3,44961,0.0,100.0,4.787,9.553
Glass Breaking-freeringtonesdownload.info.mp3,9152,0.0,100.0,0.75,0.819
